label,crop,disease,description,symptoms,cause,solution,prevention,danger_level
Apple___Apple_scab,Apple,Apple scab,Apple scab affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of apple scab include discoloration, spots, or deformities on leaves or fruits.","The primary cause of apple scab is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Apple___Black_rot,Apple,Black rot,Black rot affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of black rot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of black rot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Apple___Cedar_apple_rust,Apple,Cedar apple rust,Cedar apple rust affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of cedar apple rust include discoloration, spots, or deformities on leaves or fruits.","The primary cause of cedar apple rust is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Apple___healthy,Apple,Healthy,healthy affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Blueberry___healthy,Blueberry,Healthy,healthy affects blueberry crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Cherry_(including_sour)___Powdery_mildew,Cherry,Powdery mildew,Powdery mildew affects cherry_(including_sour) crops and may lead to reduced yield if untreated.,"Typical symptoms of powdery mildew include discoloration, spots, or deformities on leaves or fruits.","The primary cause of powdery mildew is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Cherry_(including_sour)___healthy,Cherry,Healthy,healthy affects cherry_(including_sour) crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn,Cercospora leaf spot Gray leaf spot,Cercospora leaf spot Gray leaf spot affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of cercospora leaf spot gray leaf spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of cercospora leaf spot gray leaf spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Corn_(maize)___Common_rust_,Corn,Common rust,Common rust affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of common rust include discoloration, spots, or deformities on leaves or fruits.","The primary cause of common rust is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Corn_(maize)___Northern_Leaf_Blight,Corn,Northern Leaf Blight,Northern Leaf Blight affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of northern leaf blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of northern leaf blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Corn_(maize)___healthy,Corn,Healthy,healthy affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Grape___Black_rot,Grape,Black rot,Black rot affects grape crops and may lead to reduced yield if untreated.,"Typical symptoms of black rot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of black rot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),Esca (Black Measles) affects grape crops and may lead to reduced yield if untreated.,"Typical symptoms of esca (black measles) include discoloration, spots, or deformities on leaves or fruits.","The primary cause of esca (black measles) is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf blight (Isariopsis Leaf Spot),Leaf blight (Isariopsis Leaf Spot) affects grape crops and may lead to reduced yield if untreated.,"Typical symptoms of leaf blight (isariopsis leaf spot) include discoloration, spots, or deformities on leaves or fruits.","The primary cause of leaf blight (isariopsis leaf spot) is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Grape___healthy,Grape,Healthy,healthy affects grape crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening),Haunglongbing (Citrus greening) affects orange crops and may lead to reduced yield if untreated.,"Typical symptoms of haunglongbing (citrus greening) include discoloration, spots, or deformities on leaves or fruits.","The primary cause of haunglongbing (citrus greening) is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Peach___Bacterial_spot,Peach,Bacterial spot,Bacterial spot affects peach crops and may lead to reduced yield if untreated.,"Typical symptoms of bacterial spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of bacterial spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Peach___healthy,Peach,Healthy,healthy affects peach crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
"Pepper,_bell___Bacterial_spot","Pepper, bell",Bacterial spot,"Bacterial spot affects pepper,_bell crops and may lead to reduced yield if untreated.","Typical symptoms of bacterial spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of bacterial spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
"Pepper,_bell___healthy","Pepper, bell",Healthy,"healthy affects pepper,_bell crops and may lead to reduced yield if untreated.","Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Potato___Early_blight,Potato,Early blight,Early blight affects potato crops and may lead to reduced yield if untreated.,"Typical symptoms of early blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of early blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Potato___Late_blight,Potato,Late blight,Late blight affects potato crops and may lead to reduced yield if untreated.,"Typical symptoms of late blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of late blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Potato___healthy,Potato,Healthy,healthy affects potato crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Raspberry___healthy,Raspberry,Healthy,healthy affects raspberry crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Soybean___healthy,Soybean,Healthy,healthy affects soybean crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Squash___Powdery_mildew,Squash,Powdery mildew,Powdery mildew affects squash crops and may lead to reduced yield if untreated.,"Typical symptoms of powdery mildew include discoloration, spots, or deformities on leaves or fruits.","The primary cause of powdery mildew is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Strawberry___Leaf_scorch,Strawberry,Leaf scorch,Leaf scorch affects strawberry crops and may lead to reduced yield if untreated.,"Typical symptoms of leaf scorch include discoloration, spots, or deformities on leaves or fruits.","The primary cause of leaf scorch is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Strawberry___healthy,Strawberry,Healthy,healthy affects strawberry crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Tomato___Bacterial_spot,Tomato,Bacterial spot,Bacterial spot affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of bacterial spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of bacterial spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Tomato___Early_blight,Tomato,Early blight,Early blight affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of early blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of early blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Tomato___Late_blight,Tomato,Late blight,Late blight affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of late blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of late blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Tomato___Leaf_Mold,Tomato,Leaf Mold,Leaf Mold affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of leaf mold include discoloration, spots, or deformities on leaves or fruits.","The primary cause of leaf mold is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot,Septoria leaf spot affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of septoria leaf spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of septoria leaf spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider mites Two-spotted spider mite,Spider mites Two-spotted spider mite affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of spider mites two-spotted spider mite include discoloration, spots, or deformities on leaves or fruits.","The primary cause of spider mites two-spotted spider mite is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Tomato___Target_Spot,Tomato,Target Spot,Target Spot affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of target spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of target spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of tomato yellow leaf curl virus include discoloration, spots, or deformities on leaves or fruits.","The primary cause of tomato yellow leaf curl virus is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Tomato___Tomato_mosaic_virus,Tomato,Tomato mosaic virus,Tomato mosaic virus affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of tomato mosaic virus include discoloration, spots, or deformities on leaves or fruits.","The primary cause of tomato mosaic virus is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
Tomato___healthy,Tomato,Healthy,healthy affects tomato crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
